Name	Primary homeland	Subgroups
Sidama	Sidamia 	
Siddi	Pakistan , india 	
Sika	Sikka Regency 	
Silesians	Silesia , Czech Silesia 	Cieszyn Vlachs, Silesian Gorals
Siltee	Siltia 	
Sindhis	Sindh 	Jat, Memon, arain, indian Sindhis
Sinhalese	Sri Lanka	Dewa, British Sri Lankans, Burghers 
Sioux	Lakotah 	Lakota, Dakota, Nakota 
Slovaks	Slovakia	Czech Republic, Serbia, Hungary, United States , Canada
Slovenes	Slovenia	Carinthian Slovenes, italy Slovenes
Soga	Busoga 	
Somalis	Greater Somalia 	Hawiye, Darod , isaaq, Dir, Rahanweyn, Madhiban, Yibir, ajuran ,  ,  United Kingdom, Sweden, , Canada
Songhai	Mali, Niger	Zarma
Soninke	Mali	Haratin
Sotho	Free State , Lesotho	
Spaniards	Spain	Castilians, andalusians, asturians, Leonese, Cantabrians, aragonese, Extremadurans, Mirandese, Canary islanders, Hispanos , Mexicans, Guatemalans , Salvadorans, Hondurans, Nicaraguans, Costa Ricans, Panamanians, Colombians, Venezuelans, Ecuadorians, Peruvians, Bolivians, Paraguayans, Chileans, argentines, Uruguayans, Cubans, Dominicans, Puerto Ricans, Fernandinos, , Spanish Filipinos
Sui	Sandu Shui autonomous County 	
Sukuma	Tanzania	
Sumba	Sumba 	anakalangu, East Sumbanese, Kodi, Lamboya, West Sumbanese, Mamboru, Wanukaka
Sumbawa	Sumbawa 	
Sundanese	Java 	Bantenese, Baduy, Cirebonese
Surma	Ethiopia, South Sudan	Meeen, Mursi, Kichepo
Susu	Guinea, Kambia 	
Swahili	Swahili coast 	Shirazi 
Swazi	Mpumalanga , Eswatini	
Swedes	Sweden	Scanians, Jamtish, Gutnish, , significant populationsin Finl, ,  , Canada, argentina ,  United Kingdom
Sylhetis	Sylhet Division, Barak Valley	
Sami	Sapmi 	inari Sami, Kildin Sami, Lule Sami, Northern Sami, Pite Sami, Skolt Sami, Southern Sami, Ter Sami, Ume Sami
Tabasaran	Tabasaranstan 	
Tagalogs	Philippines	Filipino americans
Tahitians	Tahiti 	
Tajiks	afghanistan, Tajikistan, Uzbekistan	Chagatai
Talysh	azerbaijan, iran	
Tama	Chad, Sudan	
Tamils	Tamil Nadu , Sri Lanka 	indian Tamils , Sri Lankan Tamils , Paravar, , Malaysia, South africa,  , Singapore, Canada,  United Kingdom, , France .
Tandroy	androy 	
Tankas	China 	Fuzhou Tankas
Tarok	Plateau State 	
Tatars	Tatarstan 	Volga Tatars, Crimean Tatars, Lipka Tatars, Siberian Tatars, Mishar Tatars, Finnish Tatars, Dobruja Tatars, Chinese Tatars, Nagaybak, Kryashens
Tauseg	Sulu archipelago	
Tboli	South Cotabato 	
Telugu	india 	Kamma, Reddy, Velama, Kapu, Raju, Madiga, Mala
Temne	Northern Sierra Leone	
Thais	Thailand	Southern Thai, Khorat, Lanna, Tai Lu, Thai americans
Tibetans	Tibet 	amdolese , Khams, u-Tsang, Changpa, Baima
Tigrayans	Eritrean Highlands , Tigrayia 	
Tigre	Eritrea	
Tiv	Benue State 	
Tiwa	india 	
Tlapanec	Guerrero 	
Toraja	Tana Toraja 	
Toubou	Touboul, 	Daza, Teda
Toucouleur	Futa Tooro 	
Tripuri	Tripura 	Jamatia, Murasing
Tsonga	Mozambique , South africa	
Tswana	Botswana, South Tswanal, 	Balete, Mangwato, Bangwaketse, Rolong
Tujia	Wuling Mountains 	
Tupuri	Far North Region, Mayo-Kebbi	
Turkana	Turkanal, 	
Turkmens	Turkmenistan	
Turks	Turkey	Turkish Cypriots, Meskhetian Turks, Yoruks, , Bulgaria, Greece, Macedonia, Germany, France,  United Kingdom,  Netherlands, austria, Belgium, Sweden,  , Syria, , iraq
Tutsi	Rwanda, Burundi, Kivu	Banyamulenge
Tuvans	Tuva 	Tozhu Tuvans
Udmurts	Udmurtia 	Besermyan
Ukrainians	Ukraine	Poleshuks, Cossacks, ,  , Brazil, Kazakhstan, Germany, Canada, italy, argentina,  Czech Republic, , Romania
Urhobos	Delta State 	
Uyghurs	Uyghuristan 	Uyghurs in Kazakhstan
Uzbeks	Uzbekistan	Uzbeks in Russia
Venda	Vendal, 	
Vietnamese	Vietnam	Muong, Gin, Phen, Chut, The, Nung, Giay, ,  , Cambodia, France, australia, Canada, Taiwan, Japan, Korea, Germany, Laos
Visayans	Visayas 	aklanon, Butuanon, Cebuano , Caluyanon, Capiznons, Hiligaynon, Karay-a, Masbatenos, Negrense, Porohanon, Romblomanon , Waray
Wa	Wa State 	
Walloons	Wallonia 	
Waxiang	Hunan 	
Welayta	Wolayitia 	
Welsh	Wales 	argentina , Canada, , australia.
Wolof	Senegambia 	Lebu, Haratins , Martinicans
Xhosa	Xhosal, 	
Yakan	Basilan 	
Yakuts	Yakutia 	
Yako	Yakurr Local Government	
Yao	Malawi, Mozambique, Tanzania 	
Yi	China 	Phu La, azha
Yoruba	Yorubal, 	Egun, ijesha, Egba, Yewa, igbomina, awori, akoko, Okun, ana, Ekiti, ilaje, Oku
Zaghawa	Chad, Sudan	
Zamboanguenos	Zamboanga City	
Zande	Democratic Republic of  Congo, Central african Republic, South Sudan	Barambu
Zapotecs	Oaxaca 	ixtlan
Zhuang	Zhuangia 	
Zulu	KwaZulu-Natal 	Northern Ndebele
